No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
92;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);919;PANTENE;42;Miss Glam Mayang;4;500000;0;;
93;3462;CLABEAU (ONLINE);2306;CLABEAU;37;PT Bersama Distriversa Indonesia;2;500000;0;;
94;3728;COSLINE BRAND INDONESIA - PPN ( CASH ) ( DC );2300;KOJIS;37;PT Bersama Distriversa Indonesia;3;500000;0;;
95;3408;CROWNCARE (ONLINE);2312;CROWNCARE;37;PT Bersama Distriversa Indonesia;4;500000;0;;
96;102;CV  ANUGERAH WAHYUDI SEJAHTERA - PPN (PDG);1731;PASEO;7;Miss Glam Padang;4;500000;0;;
97;102;CV  ANUGERAH WAHYUDI SEJAHTERA - PPN (PDG);1731;PASEO;21;Miss Glam Damar;4;500000;0;;
98;102;CV  ANUGERAH WAHYUDI SEJAHTERA - PPN (PDG);131;VEET;7;Miss Glam Padang;4;500000;0;;
99;102;CV  ANUGERAH WAHYUDI SEJAHTERA - PPN (PDG);131;VEET;21;Miss Glam Damar;4;500000;0;;
100;102;CV  ANUGERAH WAHYUDI SEJAHTERA - PPN (PDG);131;VEET;31;Miss Glam Sutomo;4;500000;0;;
101;3718;CV GLOWIES INNOVATION DAN TECHNOLOGY - NON PPN ( CASH ) ( DC );1143;GLOWIES BEAUTY;37;PT Bersama Distriversa Indonesia;2;500000;0;;
102;3286;CV PROSPERINDO NUSA JAYA - PPN (TPG);912;LEIVY;30;Miss Glam Tanjung Pinang;1;500000;0;;
103;2421;CV. ALVARO PRIMA - PPN (BKL);49;BRASOV;18;Miss Glam Bengkulu;1;500000;0;;
104;2421;CV. ALVARO PRIMA - PPN (BKL);1589;VIVELLE;18;Miss Glam Bengkulu;3;500000;0;;
105;3053;CV. ANDIRA DAHAYU - PPN (LLG);349;ARIUL;26;Miss Glam Lubuk Linggau;1;500000;0;;
106;3053;CV. ANDIRA DAHAYU - PPN (LLG);2322;BRAVEN;26;Miss Glam Lubuk Linggau;1;500000;0;;
107;3053;CV. ANDIRA DAHAYU - PPN (LLG);515;CARASUN;26;Miss Glam Lubuk Linggau;1;500000;0;;
108;3053;CV. ANDIRA DAHAYU - PPN (LLG);691;CLEAN FACE;26;Miss Glam Lubuk Linggau;1;500000;0;;
109;3053;CV. ANDIRA DAHAYU - PPN (LLG);57;COSRX;26;Miss Glam Lubuk Linggau;1;500000;0;;
110;3053;CV. ANDIRA DAHAYU - PPN (LLG);350;DERMA ANGEL;26;Miss Glam Lubuk Linggau;1;500000;0;;
111;3053;CV. ANDIRA DAHAYU - PPN (LLG);65;EVANGELINE;26;Miss Glam Lubuk Linggau;1;500000;0;;
112;3053;CV. ANDIRA DAHAYU - PPN (LLG);85;INNISFREE;26;Miss Glam Lubuk Linggau;1;500000;0;;
113;3053;CV. ANDIRA DAHAYU - PPN (LLG);1632;KOJIESAN SAKURA;26;Miss Glam Lubuk Linggau;1;500000;0;;
114;3053;CV. ANDIRA DAHAYU - PPN (LLG);497;MAMAYA;26;Miss Glam Lubuk Linggau;1;500000;0;;
115;3053;CV. ANDIRA DAHAYU - PPN (LLG);375;MEDIHEAL;26;Miss Glam Lubuk Linggau;1;500000;0;;
116;3053;CV. ANDIRA DAHAYU - PPN (LLG);130;PURBASARI;26;Miss Glam Lubuk Linggau;1;500000;0;;
117;3053;CV. ANDIRA DAHAYU - PPN (LLG);381;PURE PAWPAW;26;Miss Glam Lubuk Linggau;1;500000;0;;
118;2831;CV. ANDIRA DAHAYU PPN (BKL);349;ARIUL;18;Miss Glam Bengkulu;1;500000;0;;
119;2831;CV. ANDIRA DAHAYU PPN (BKL);2322;BRAVEN;18;Miss Glam Bengkulu;1;500000;0;;
120;2831;CV. ANDIRA DAHAYU PPN (BKL);515;CARASUN;18;Miss Glam Bengkulu;1;500000;0;;
121;2831;CV. ANDIRA DAHAYU PPN (BKL);57;COSRX;18;Miss Glam Bengkulu;1;500000;0;;
122;2831;CV. ANDIRA DAHAYU PPN (BKL);350;DERMA ANGEL;18;Miss Glam Bengkulu;1;500000;0;;
