No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
162;AZARINE;20300199909;AZARINE Mattelite Lock Lipstick – 09 Mars;47200;59000;6336;B;BEAUTY MATURE;Lip Make Up;Lipstick;0;3;6;2025-10-22;0;0;0,05;3;1;14;1;13,85;14;24;0;18;849600;Miss Glam Padang;21;0;0;0;0;;;120;0;0
163;AZARINE;203001100059;AZARINE Mattelite Lock Lipstick – 10 Cosmara;47200;59000;6083;B;BEAUTY MATURE;Lip Make Up;Lipstick;0;3;7;2025-11-15;0;0;0,05;3;1;14;1;13,85;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;140;0;0
164;AZARINE;203001100103;AZARINE Mattelite Lock Lipstick – 11 Eclipse;47200;59000;7251;B;BEAUTY MATURE;Lip Make Up;Lipstick;0;2;3;2025-10-14;0;0;0,03;3;1;14;1;13,9;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;100;0;0
165;AZARINE;203001100260;AZARINE Mattelite Lock Lipstick – 12 Artemis;47200;59000;6107;B;BEAUTY MATURE;Lip Make Up;Lipstick;0;3;3;2025-11-14;0;0;0,05;3;1;14;1;13,85;14;24;0;21;991200;Miss Glam Padang;21;0;0;0;0;;;60;0;0
166;AZARINE;203001100352;AZARINE Mattelite Lock Lipstick – 13 Matrix;47200;59000;7211;B;BEAUTY MATURE;Lip Make Up;Lipstick;0;2;6;2025-11-15;0;0;0,03;3;1;14;1;13,9;14;24;0;18;849600;Miss Glam Padang;21;0;0;0;0;;;200;0;0
167;AZARINE;203001100450;AZARINE Mattelite Lock Lipstick – 14 Lunar;47202;59000;5140;B*;BEAUTY MATURE;Lip Make Up;Lipstick;0;4;2;2025-11-15;0;0;0,07;3;1;14;1;13,8;14;24;3;19;896838;Miss Glam Padang;21;0;0;0;0;;;28,57;0;0
168;AZARINE;8997208072064;AZARINE Moisture Rich Hydrating Toner 90ml;55200;68000;5122;B*;BEAUTY MATURE;Face Care;Toner;0;4;6;2025-11-09;0;0;0,07;3;1;14;3;13,8;14;24;0;18;993600;Miss Glam Padang;21;0;0;0;0;;;85,71;0;0
169;AZARINE;8997208072569;AZARINE Niacinamide 10% + Dipotassium Glycyrrhizate Glorious Serum 20ml;71200;89000;7494;B;BEAUTY MATURE;Serum;Brightening;0;2;2;2025-11-03;0;0;0,03;3;1;14;3;13,9;14;24;0;21;1495200;Miss Glam Padang;21;0;0;0;0;;;66,67;0;0
170;AZARINE;8997208072033;AZARINE Niacinamide 5% + Moisture Sepiwhite Serum 20ml;47201;59000;3785;A;BEAUTY MATURE;Serum;Brightening;1;9;8;2025-11-18;0;0;0,15;3;2;14;3;27,54;28;48;0;39;1840839;Miss Glam Padang;21;0;0;0;0;;;53,33;0;0
171;AZARINE;8997208072729;AZARINE Oh! My Brow Definer 01 Eyeppuccino Dark Brown 0.06gr ;36000;45000;2631;A;BEAUTY MATURE;Eye Make Up;Eyebrow;1;15;7;2025-11-17;0;0;0,25;3;2;14;3;27,24;28;48;6;36;1296000;Miss Glam Padang;21;0;0;0;0;;;28;0;0
