No;supplier_id;brand_id;store_id;order_day;min_purchase;trading_term;promo_factor;delay_factor
351;107;358;24;2;500000;0;;
352;107;358;26;2;500000;0;;
353;107;358;28;2;500000;0;;
354;107;358;30;2;500000;0;;
355;107;358;31;2;500000;0;;
356;107;358;32;2;500000;0;;
357;107;358;39;2;500000;0;;
358;107;358;41;2;500000;0;;
359;107;358;42;2;500000;0;;
360;107;996;7;2;500000;0;;
361;107;996;8;2;500000;0;;
362;107;996;9;2;500000;0;;
363;107;996;13;2;500000;0;;
364;107;996;14;2;500000;0;;
365;107;996;15;2;500000;0;;
366;107;996;17;2;500000;0;;
367;107;996;18;2;500000;0;;
368;107;996;20;2;500000;0;;
369;107;996;21;2;500000;0;;
370;107;996;22;2;500000;0;;
371;107;996;23;2;500000;0;;
372;107;996;24;2;500000;0;;
373;107;996;25;2;500000;0;;
374;107;996;26;2;500000;0;;
375;107;996;27;2;500000;0;;
376;107;996;28;2;500000;0;;
377;107;996;30;2;500000;0;;
378;107;996;31;2;500000;0;;
379;107;996;32;2;500000;0;;
380;107;996;34;2;500000;0;;
381;107;996;35;2;500000;0;;
382;107;996;38;2;500000;0;;
383;107;996;40;2;500000;0;;
384;107;996;41;2;500000;0;;
385;107;996;42;2;500000;0;;
386;107;523;7;3;500000;0;;
387;107;523;8;3;500000;0;;
388;107;523;13;3;500000;0;;
389;107;523;19;3;500000;0;;
390;107;523;21;3;500000;0;;
391;107;523;31;3;500000;0;;
392;107;523;33;3;500000;0;;
393;107;523;35;3;500000;0;;
394;107;523;36;3;500000;0;;
395;107;523;40;3;500000;0;;
396;107;523;43;3;500000;0;;
397;107;1945;7;2;500000;0;;
398;107;1945;7;2;500000;0;;
399;107;1945;13;2;500000;0;;
400;107;1945;13;2;500000;0;;
401;107;1945;21;2;500000;0;;
402;107;1945;21;2;500000;0;;
403;107;1945;23;2;500000;0;;
404;107;1945;23;2;500000;0;;
405;107;1945;24;2;500000;0;;
406;107;1945;24;2;500000;0;;
407;107;1945;31;2;500000;0;;
408;107;1945;31;2;500000;0;;
409;107;1945;32;2;500000;0;;
410;107;1945;32;2;500000;0;;
411;107;1945;38;2;500000;0;;
412;107;1945;38;2;500000;0;;
413;107;423;7;2;500000;0;;
414;107;423;9;2;500000;0;;
415;107;423;13;2;500000;0;;
416;107;423;15;2;500000;0;;
417;107;423;21;2;500000;0;;
418;107;423;22;2;500000;0;;
419;107;423;23;2;500000;0;;
420;107;423;24;2;500000;0;;
421;107;423;30;2;500000;0;;
422;107;423;31;2;500000;0;;
423;107;423;32;2;500000;0;;
424;107;423;38;2;500000;0;;
425;107;423;41;2;500000;0;;
426;107;423;42;2;500000;0;;
427;107;1772;7;2;500000;0;;
428;107;1772;8;2;500000;0;;
429;107;1772;9;2;500000;0;;
430;107;1772;13;2;500000;0;;
431;107;1772;14;2;500000;0;;
432;107;1772;15;2;500000;0;;
433;107;1772;17;2;500000;0;;
434;107;1772;18;2;500000;0;;
435;107;1772;19;2;500000;0;;
436;107;1772;20;2;500000;0;;
437;107;1772;21;2;500000;0;;
438;107;1772;22;2;500000;0;;
439;107;1772;23;2;500000;0;;
